claim_id,tier,outcome,turnaround_hours
CLM-000148,Green,Auto-approved,1.4
CLM-000149,Amber,Human review,92.2
CLM-000150,Amber,Human review,87.2
CLM-000151,Green,Auto-approved,1.8
CLM-000152,Amber,Human review,94.0
CLM-000153,Green,Auto-approved,0.6
CLM-000154,Green,Auto-approved,1.7
CLM-000155,Green,Auto-approved,1.8
CLM-000156,Amber,Human review,64.4
CLM-000157,Green,Auto-approved,2.5
CLM-000158,Red,SIU referral,125.9
CLM-000159,Red,SIU referral,224.8
CLM-000160,Amber,Human review,37.5
CLM-000161,Amber,Human review,92.2
CLM-000162,Amber,Human review,25.8
CLM-000163,Green,Auto-approved,0.5
CLM-000164,Green,Auto-approved,1.4
CLM-000165,Amber,Human review,42.8
CLM-000166,Green,Auto-approved,1.4
CLM-000167,Amber,Human review,89.7
CLM-000168,Amber,Human review,55.8
CLM-000169,Amber,Human review,91.0
CLM-000170,Amber,Human review,55.7
CLM-000171,Green,Auto-approved,1.0
CLM-000172,Green,Auto-approved,3.0
CLM-000173,Amber,Human review,39.5
CLM-000174,Green,Auto-approved,2.0
CLM-000175,Green,Auto-approved,1.7
CLM-000176,Green,Auto-approved,2.0
CLM-000177,Green,Auto-approved,2.2
CLM-000178,Green,Auto-approved,1.6
CLM-000179,Amber,Human review,74.3
CLM-000180,Green,Auto-approved,3.9
CLM-000181,Red,SIU referral,182.4
CLM-000182,Amber,Human review,26.7
CLM-000183,Amber,Human review,55.7
CLM-000184,Green,Auto-approved,3.9
CLM-000185,Green,Auto-approved,3.1
CLM-000186,Green,Auto-approved,2.3
CLM-000187,Green,Auto-approved,2.2
CLM-000188,Amber,Human review,90.0
CLM-000189,Red,SIU referral,172.3
CLM-000190,Green,Auto-approved,1.4
CLM-000191,Green,Auto-approved,2.6
CLM-000192,Amber,Human review,94.7
CLM-000193,Amber,Human review,40.0
CLM-000194,Green,Auto-approved,3.9
CLM-000195,Amber,Human review,86.6
CLM-000196,Amber,Human review,61.3
CLM-000197,Amber,Human review,24.4
CLM-000198,Green,Auto-approved,2.3
CLM-000199,Green,Auto-approved,1.5
CLM-000200,Amber,Human review,44.4
CLM-000201,Red,SIU referral,269.0
CLM-000202,Amber,Human review,49.2
CLM-000203,Amber,Human review,74.9
CLM-000204,Green,Auto-approved,2.3
CLM-000205,Amber,Human review,57.4
CLM-000206,Green,Auto-approved,1.1
CLM-000207,Green,Auto-approved,1.7
CLM-000208,Green,Auto-approved,3.8
CLM-000209,Amber,Human review,94.9
CLM-000210,Green,Auto-approved,3.0
CLM-000211,Green,Auto-approved,1.0
CLM-000212,Green,Auto-approved,0.9
CLM-000213,Green,Auto-approved,0.7
CLM-000214,Red,SIU referral,190.2
CLM-000215,Green,Auto-approved,2.8
CLM-000216,Red,SIU referral,146.9
CLM-000217,Amber,Human review,48.5
CLM-000218,Green,Auto-approved,2.2
CLM-000219,Green,Auto-approved,4.0
CLM-000220,Green,Auto-approved,1.4
CLM-000221,Green,Auto-approved,1.7
CLM-000222,Red,SIU referral,355.2
CLM-000223,Amber,Human review,42.5
CLM-000224,Amber,Human review,80.9
CLM-000225,Green,Auto-approved,2.7
CLM-000226,Green,Auto-approved,2.6
CLM-000227,Amber,Human review,66.0
CLM-000228,Amber,Human review,59.2
CLM-000229,Green,Auto-approved,3.0
CLM-000230,Amber,Human review,93.6
CLM-000231,Green,Auto-approved,3.1
CLM-000232,Amber,Human review,27.2
CLM-000233,Green,Auto-approved,0.7
CLM-000234,Green,Auto-approved,3.0
CLM-000235,Amber,Human review,78.0
CLM-000236,Amber,Human review,71.5
CLM-000237,Amber,Human review,41.2
CLM-000238,Green,Auto-approved,3.9
CLM-000239,Green,Auto-approved,0.6
CLM-000240,Amber,Human review,92.8
CLM-000241,Amber,Human review,76.0
CLM-000242,Green,Auto-approved,1.2
CLM-000243,Red,SIU referral,375.2
CLM-000244,Amber,Human review,37.3
CLM-000245,Green,Auto-approved,3.9
CLM-000246,Green,Auto-approved,1.9
CLM-000247,Amber,Human review,62.3
CLM-000248,Green,Auto-approved,1.1
CLM-000249,Green,Auto-approved,1.0
CLM-000250,Green,Auto-approved,1.2
CLM-000251,Green,Auto-approved,2.1
CLM-000252,Green,Auto-approved,1.8
CLM-000253,Amber,Human review,33.1
CLM-000254,Green,Auto-approved,2.8
CLM-000255,Amber,Human review,92.0
CLM-000256,Amber,Human review,86.2
CLM-000257,Amber,Human review,35.6
CLM-000258,Green,Auto-approved,3.0
CLM-000259,Green,Auto-approved,2.3
CLM-000260,Green,Auto-approved,2.6
CLM-000261,Amber,Human review,36.2
CLM-000262,Amber,Human review,65.7
CLM-000263,Amber,Human review,89.2
CLM-000264,Amber,Human review,50.1
CLM-000265,Amber,Human review,53.5
CLM-000266,Amber,Human review,50.8
CLM-000267,Amber,Human review,70.0
CLM-000268,Green,Auto-approved,0.8
CLM-000269,Amber,Human review,51.2
CLM-000270,Amber,Human review,88.0
CLM-000271,Green,Auto-approved,3.9
CLM-000272,Green,Auto-approved,0.9
CLM-000273,Amber,Human review,35.8
CLM-000274,Amber,Human review,89.5
CLM-000275,Amber,Human review,68.1
CLM-000276,Green,Auto-approved,1.6
CLM-000277,Amber,Human review,94.8
CLM-000278,Amber,Human review,59.1
CLM-000279,Amber,Human review,81.8
CLM-000280,Amber,Human review,34.6
CLM-000281,Amber,Human review,46.3
CLM-000282,Green,Auto-approved,1.7
CLM-000283,Amber,Human review,70.5
CLM-000284,Amber,Human review,72.2
CLM-000285,Amber,Human review,59.6
CLM-000286,Amber,Human review,61.9
CLM-000287,Amber,Human review,39.9
CLM-000288,Green,Auto-approved,2.5
CLM-000289,Amber,Human review,95.5
CLM-000290,Green,Auto-approved,3.7
CLM-000291,Green,Auto-approved,3.9
CLM-000292,Amber,Human review,35.5
CLM-000293,Green,Auto-approved,0.5
CLM-000294,Red,SIU referral,345.6
CLM-000295,Green,Auto-approved,2.4
CLM-000296,Green,Auto-approved,2.0
CLM-000297,Green,Auto-approved,2.4
CLM-000298,Amber,Human review,88.9
CLM-000299,Green,Auto-approved,3.6
CLM-000300,Green,Auto-approved,1.8
CLM-000301,Green,Auto-approved,2.8
CLM-000302,Green,Auto-approved,2.7
CLM-000303,Green,Auto-approved,3.8
CLM-000304,Green,Auto-approved,3.3
CLM-000305,Amber,Human review,63.9
CLM-000306,Green,Auto-approved,0.7
CLM-000307,Green,Auto-approved,1.6
CLM-000308,Green,Auto-approved,1.2
CLM-000309,Green,Auto-approved,3.3
CLM-000310,Amber,Human review,86.4
CLM-000311,Green,Auto-approved,3.1
CLM-000312,Green,Auto-approved,2.0
CLM-000313,Amber,Human review,36.9
CLM-000314,Green,Auto-approved,2.4
CLM-000315,Green,Auto-approved,3.1
CLM-000316,Green,Auto-approved,0.6
CLM-000317,Green,Auto-approved,1.5
CLM-000318,Green,Auto-approved,3.8
CLM-000319,Amber,Human review,66.1
CLM-000320,Green,Auto-approved,3.3
CLM-000321,Green,Auto-approved,0.6
CLM-000322,Amber,Human review,44.4
CLM-000323,Green,Auto-approved,2.8
CLM-000324,Green,Auto-approved,1.2
CLM-000325,Green,Auto-approved,2.6
CLM-000326,Amber,Human review,56.0
CLM-000327,Green,Auto-approved,2.3
CLM-000328,Green,Auto-approved,2.8
CLM-000329,Green,Auto-approved,1.7
CLM-000330,Green,Auto-approved,3.8
CLM-000331,Green,Auto-approved,1.1
CLM-000332,Green,Auto-approved,3.2
CLM-000333,Green,Auto-approved,2.4
CLM-000334,Green,Auto-approved,3.5
CLM-000335,Green,Auto-approved,3.6
CLM-000336,Green,Auto-approved,0.7
CLM-000337,Amber,Human review,88.9
CLM-000338,Amber,Human review,74.5
CLM-000339,Green,Auto-approved,3.7
CLM-000340,Green,Auto-approved,3.6
CLM-000341,Amber,Human review,44.3
CLM-000342,Green,Auto-approved,2.3
CLM-000343,Green,Auto-approved,2.1
CLM-000344,Green,Auto-approved,3.6
CLM-000345,Green,Auto-approved,3.4
CLM-000346,Red,SIU referral,472.4
CLM-000347,Amber,Human review,90.1
CLM-000348,Green,Auto-approved,1.4
CLM-000349,Green,Auto-approved,2.6
CLM-000350,Amber,Human review,29.1
CLM-000351,Green,Auto-approved,3.9
CLM-000352,Green,Auto-approved,0.7
CLM-000353,Green,Auto-approved,0.9
CLM-000354,Green,Auto-approved,2.7
CLM-000355,Green,Auto-approved,2.2
CLM-000356,Red,SIU referral,190.7
CLM-000357,Green,Auto-approved,1.8
CLM-000358,Amber,Human review,27.4
CLM-000359,Red,SIU referral,189.4
CLM-000360,Amber,Human review,66.6
CLM-000361,Red,SIU referral,354.2
CLM-000362,Green,Auto-approved,3.3
CLM-000363,Green,Auto-approved,2.5
CLM-000364,Green,Auto-approved,2.1
CLM-000365,Amber,Human review,30.6
CLM-000366,Amber,Human review,54.5
CLM-000367,Amber,Human review,24.6
CLM-000368,Amber,Human review,33.4
CLM-000369,Green,Auto-approved,2.8
CLM-000370,Green,Auto-approved,3.1
CLM-000371,Green,Auto-approved,1.4
CLM-000372,Amber,Human review,55.2
CLM-000373,Amber,Human review,90.3
CLM-000374,Green,Auto-approved,4.0
CLM-000375,Amber,Human review,72.0
CLM-000376,Amber,Human review,52.5
CLM-000377,Green,Auto-approved,1.6
CLM-000378,Green,Auto-approved,1.4
CLM-000379,Amber,Human review,64.2
CLM-000380,Green,Auto-approved,3.3
CLM-000381,Amber,Human review,24.8
CLM-000382,Green,Auto-approved,3.3
CLM-000383,Red,SIU referral,417.4
CLM-000384,Green,Auto-approved,1.1
CLM-000385,Amber,Human review,81.8
CLM-000386,Amber,Human review,57.7
CLM-000387,Green,Auto-approved,1.3
CLM-000388,Green,Auto-approved,2.9
CLM-000389,Amber,Human review,39.0
CLM-000390,Amber,Human review,48.0
CLM-000391,Amber,Human review,71.0
CLM-000392,Amber,Human review,32.1
CLM-000393,Green,Auto-approved,3.3
CLM-000394,Amber,Human review,83.2
CLM-000395,Green,Auto-approved,2.1
CLM-000396,Green,Auto-approved,1.5
CLM-000397,Green,Auto-approved,4.0
CLM-000398,Green,Auto-approved,0.6
CLM-000399,Green,Auto-approved,2.2
CLM-000400,Amber,Human review,88.1
CLM-000401,Green,Auto-approved,2.8
CLM-000402,Green,Auto-approved,2.1
CLM-000403,Green,Auto-approved,1.8
CLM-000404,Red,SIU referral,479.8
CLM-000405,Green,Auto-approved,2.5
CLM-000406,Green,Auto-approved,2.6
CLM-000407,Amber,Human review,79.2
CLM-000408,Amber,Human review,90.4
CLM-000409,Amber,Human review,49.3
CLM-000410,Green,Auto-approved,1.8
CLM-000411,Amber,Human review,26.3
CLM-000412,Red,SIU referral,475.6
CLM-000413,Green,Auto-approved,1.7
CLM-000414,Green,Auto-approved,2.5
CLM-000415,Green,Auto-approved,2.7
CLM-000416,Green,Auto-approved,3.4
CLM-000417,Green,Auto-approved,3.8
CLM-000418,Green,Auto-approved,0.7
CLM-000419,Green,Auto-approved,3.5
CLM-000420,Green,Auto-approved,1.0
CLM-000421,Amber,Human review,47.8
CLM-000422,Green,Auto-approved,1.0
CLM-000423,Amber,Human review,67.9
CLM-000424,Amber,Human review,46.5
CLM-000425,Green,Auto-approved,1.9
CLM-000426,Red,SIU referral,113.4
CLM-000427,Green,Auto-approved,3.8
CLM-000428,Green,Auto-approved,1.2
CLM-000429,Green,Auto-approved,1.9
CLM-000430,Green,Auto-approved,2.0
CLM-000431,Green,Auto-approved,1.2
CLM-000432,Green,Auto-approved,3.1
CLM-000433,Amber,Human review,54.7
CLM-000434,Amber,Human review,75.3
CLM-000435,Amber,Human review,83.0
CLM-000436,Amber,Human review,32.0
CLM-000437,Amber,Human review,92.9
CLM-000438,Green,Auto-approved,1.0
CLM-000439,Amber,Human review,52.5
CLM-000440,Amber,Human review,91.7
CLM-000441,Amber,Human review,51.4
CLM-000442,Green,Auto-approved,1.5
CLM-000443,Green,Auto-approved,0.9
CLM-000444,Green,Auto-approved,1.7
CLM-000445,Green,Auto-approved,1.2
CLM-000446,Amber,Human review,31.5
CLM-000447,Amber,Human review,32.0
CLM-000448,Amber,Human review,67.4
CLM-000449,Amber,Human review,61.0
CLM-000450,Amber,Human review,79.0
CLM-000451,Green,Auto-approved,2.3
CLM-000452,Green,Auto-approved,1.0
CLM-000453,Green,Auto-approved,2.9
CLM-000454,Green,Auto-approved,1.1
CLM-000455,Green,Auto-approved,2.8
CLM-000456,Green,Auto-approved,2.5
CLM-000457,Green,Auto-approved,0.6
CLM-000458,Green,Auto-approved,2.0
CLM-000459,Amber,Human review,38.5
CLM-000460,Green,Auto-approved,3.0
CLM-000461,Amber,Human review,25.1
CLM-000462,Green,Auto-approved,0.7
CLM-000463,Green,Auto-approved,1.7
CLM-000464,Amber,Human review,41.4
CLM-000465,Green,Auto-approved,1.7
CLM-000466,Green,Auto-approved,1.2
CLM-000467,Green,Auto-approved,3.4
CLM-000468,Amber,Human review,73.2
CLM-000469,Green,Auto-approved,3.3
CLM-000470,Amber,Human review,70.2
CLM-000471,Green,Auto-approved,2.6
CLM-000472,Amber,Human review,27.8
CLM-000473,Green,Auto-approved,3.0
CLM-000474,Green,Auto-approved,2.1
CLM-000475,Green,Auto-approved,2.2
CLM-000476,Amber,Human review,65.4
CLM-000477,Green,Auto-approved,3.7
CLM-000478,Green,Auto-approved,3.0
CLM-000479,Red,SIU referral,134.2
CLM-000480,Amber,Human review,65.0
CLM-000481,Amber,Human review,90.4
CLM-000482,Green,Auto-approved,2.9
CLM-000483,Red,SIU referral,321.7
CLM-000484,Amber,Human review,39.0
CLM-000485,Amber,Human review,75.2
CLM-000486,Green,Auto-approved,2.7
CLM-000487,Amber,Human review,61.2
CLM-000488,Red,SIU referral,113.0
CLM-000489,Green,Auto-approved,3.0
CLM-000490,Amber,Human review,32.9
CLM-000491,Amber,Human review,27.5
CLM-000492,Green,Auto-approved,2.2
CLM-000493,Green,Auto-approved,1.0
CLM-000494,Green,Auto-approved,2.7
CLM-000495,Amber,Human review,77.8
CLM-000496,Amber,Human review,85.2
CLM-000497,Amber,Human review,74.3
CLM-000498,Green,Auto-approved,3.3
CLM-000499,Green,Auto-approved,0.9
CLM-000500,Green,Auto-approved,0.8
CLM-000501,Amber,Human review,77.6
CLM-000502,Green,Auto-approved,1.7
CLM-000503,Green,Auto-approved,3.4
CLM-000504,Green,Auto-approved,2.6
CLM-000505,Green,Auto-approved,0.6
CLM-000506,Green,Auto-approved,0.8
CLM-000507,Green,Auto-approved,0.8
CLM-000508,Red,SIU referral,124.4
CLM-000509,Amber,Human review,77.9
CLM-000510,Amber,Human review,71.8
CLM-000511,Red,SIU referral,186.4
CLM-000512,Green,Auto-approved,3.4
CLM-000513,Amber,Human review,24.6
CLM-000514,Green,Auto-approved,2.0
CLM-000515,Green,Auto-approved,2.3
CLM-000516,Green,Auto-approved,2.5
CLM-000517,Green,Auto-approved,3.3
CLM-000518,Red,SIU referral,307.0
CLM-000519,Amber,Human review,42.3
CLM-000520,Amber,Human review,66.9
CLM-000521,Green,Auto-approved,2.8
CLM-000522,Amber,Human review,77.7
CLM-000523,Amber,Human review,42.1
CLM-000524,Green,Auto-approved,2.2
CLM-000525,Green,Auto-approved,1.6
CLM-000526,Green,Auto-approved,1.3
CLM-000527,Green,Auto-approved,3.0
CLM-000528,Amber,Human review,38.3
CLM-000529,Amber,Human review,39.7
CLM-000530,Amber,Human review,75.3
CLM-000531,Green,Auto-approved,0.6
CLM-000532,Green,Auto-approved,2.2
CLM-000533,Red,SIU referral,323.4
CLM-000534,Green,Auto-approved,3.3
CLM-000535,Amber,Human review,64.5
CLM-000536,Amber,Human review,87.8
CLM-000537,Green,Auto-approved,1.2
CLM-000538,Green,Auto-approved,2.9
CLM-000539,Green,Auto-approved,2.9
CLM-000540,Amber,Human review,88.1
CLM-000541,Amber,Human review,61.1
CLM-000542,Amber,Human review,36.8
CLM-000543,Amber,Human review,26.0
CLM-000544,Green,Auto-approved,1.3
CLM-000545,Green,Auto-approved,2.6
CLM-000546,Green,Auto-approved,3.2
CLM-000547,Green,Auto-approved,1.7
CLM-000548,Amber,Human review,73.3
CLM-000549,Green,Auto-approved,1.5
CLM-000550,Green,Auto-approved,1.0
CLM-000551,Amber,Human review,81.6
CLM-000552,Green,Auto-approved,0.7
CLM-000553,Green,Auto-approved,1.6
CLM-000554,Green,Auto-approved,1.2
CLM-000555,Green,Auto-approved,2.2
CLM-000556,Green,Auto-approved,2.5
CLM-000557,Amber,Human review,48.9
CLM-000558,Green,Auto-approved,3.2
CLM-000559,Green,Auto-approved,3.9
CLM-000560,Green,Auto-approved,1.1
CLM-000561,Green,Auto-approved,3.7
CLM-000562,Green,Auto-approved,2.3
CLM-000563,Green,Auto-approved,2.3
CLM-000564,Amber,Human review,75.9
CLM-000565,Green,Auto-approved,3.4
CLM-000566,Amber,Human review,62.1
CLM-000567,Green,Auto-approved,2.2
CLM-000568,Amber,Human review,65.3
CLM-000569,Green,Auto-approved,0.8
CLM-000570,Green,Auto-approved,3.3
CLM-000571,Green,Auto-approved,2.2
CLM-000572,Green,Auto-approved,3.3
CLM-000573,Amber,Human review,44.9
CLM-000574,Green,Auto-approved,2.9
CLM-000575,Green,Auto-approved,1.7
CLM-000576,Green,Auto-approved,2.1
CLM-000577,Amber,Human review,47.3
CLM-000578,Amber,Human review,28.0
CLM-000579,Red,SIU referral,375.9
CLM-000580,Green,Auto-approved,2.4
CLM-000581,Green,Auto-approved,0.7
CLM-000582,Amber,Human review,75.8
CLM-000583,Amber,Human review,61.1
CLM-000584,Red,SIU referral,180.2
CLM-000585,Amber,Human review,25.3
CLM-000586,Amber,Human review,44.0
CLM-000587,Red,SIU referral,382.9
CLM-000588,Amber,Human review,37.6
CLM-000589,Red,SIU referral,174.4
CLM-000590,Amber,Human review,73.4
CLM-000591,Green,Auto-approved,0.7
CLM-000592,Green,Auto-approved,2.8
CLM-000593,Green,Auto-approved,0.6
CLM-000594,Green,Auto-approved,2.8
CLM-000595,Amber,Human review,69.0
CLM-000596,Amber,Human review,50.6
CLM-000597,Amber,Human review,64.0
CLM-000598,Green,Auto-approved,1.0
CLM-000599,Amber,Human review,47.7
CLM-000600,Red,SIU referral,423.1
CLM-000601,Amber,Human review,35.1
CLM-000602,Red,SIU referral,151.0
CLM-000603,Green,Auto-approved,1.9
CLM-000604,Green,Auto-approved,3.5
CLM-000605,Green,Auto-approved,3.1
CLM-000606,Amber,Human review,78.2
CLM-000607,Amber,Human review,31.3
CLM-000608,Amber,Human review,59.1
CLM-000609,Red,SIU referral,469.5
CLM-000610,Green,Auto-approved,3.1
CLM-000611,Red,SIU referral,361.5
CLM-000612,Green,Auto-approved,0.9
CLM-000613,Amber,Human review,64.5
CLM-000614,Amber,Human review,29.9
CLM-000615,Green,Auto-approved,3.0
CLM-000616,Amber,Human review,44.3
CLM-000617,Green,Auto-approved,2.5
CLM-000618,Green,Auto-approved,1.4
CLM-000619,Red,SIU referral,369.2
CLM-000620,Green,Auto-approved,1.7
CLM-000621,Green,Auto-approved,2.7
CLM-000622,Green,Auto-approved,2.8
CLM-000623,Amber,Human review,82.2
CLM-000624,Amber,Human review,37.2
CLM-000625,Amber,Human review,51.9
CLM-000626,Green,Auto-approved,2.4
CLM-000627,Green,Auto-approved,2.4
CLM-000628,Amber,Human review,25.3
CLM-000629,Green,Auto-approved,3.3
CLM-000630,Amber,Human review,89.3
CLM-000631,Red,SIU referral,350.6
CLM-000632,Green,Auto-approved,2.6
CLM-000633,Amber,Human review,26.6
CLM-000634,Green,Auto-approved,1.7
CLM-000635,Green,Auto-approved,3.5
CLM-000636,Green,Auto-approved,3.9
CLM-000637,Red,SIU referral,356.9
CLM-000638,Amber,Human review,30.1
CLM-000639,Green,Auto-approved,3.3
CLM-000640,Amber,Human review,65.3
CLM-000641,Green,Auto-approved,0.8
CLM-000642,Red,SIU referral,251.7
CLM-000643,Green,Auto-approved,0.5
CLM-000644,Green,Auto-approved,2.1
CLM-000645,Green,Auto-approved,1.1
CLM-000646,Amber,Human review,67.8
CLM-000647,Amber,Human review,86.8
CLM-000648,Green,Auto-approved,2.0
CLM-000649,Green,Auto-approved,2.8
CLM-000650,Amber,Human review,28.7
CLM-000651,Green,Auto-approved,3.3
CLM-000652,Green,Auto-approved,0.9
CLM-000653,Amber,Human review,53.3
CLM-000654,Red,SIU referral,188.4
CLM-000655,Green,Auto-approved,1.2
CLM-000656,Red,SIU referral,219.4
CLM-000657,Red,SIU referral,99.3
CLM-000658,Green,Auto-approved,3.7
CLM-000659,Green,Auto-approved,1.1
CLM-000660,Amber,Human review,61.6
CLM-000661,Red,SIU referral,165.4
CLM-000662,Green,Auto-approved,0.6
CLM-000663,Green,Auto-approved,1.4
CLM-000664,Amber,Human review,26.5
CLM-000665,Amber,Human review,88.1
CLM-000666,Green,Auto-approved,3.1
CLM-000667,Amber,Human review,30.6
CLM-000668,Green,Auto-approved,3.3
CLM-000669,Amber,Human review,30.1
CLM-000670,Green,Auto-approved,2.5
CLM-000671,Amber,Human review,44.2
CLM-000672,Amber,Human review,84.3
CLM-000673,Green,Auto-approved,1.0
CLM-000674,Green,Auto-approved,2.9
CLM-000675,Green,Auto-approved,1.1
CLM-000676,Green,Auto-approved,2.6
CLM-000677,Green,Auto-approved,0.6
CLM-000678,Amber,Human review,59.6
CLM-000679,Green,Auto-approved,1.9
CLM-000680,Green,Auto-approved,3.9
CLM-000681,Green,Auto-approved,3.2
CLM-000682,Green,Auto-approved,1.7
CLM-000683,Amber,Human review,53.7
CLM-000684,Green,Auto-approved,3.3
CLM-000685,Green,Auto-approved,1.8
CLM-000686,Amber,Human review,31.2
CLM-000687,Amber,Human review,28.6
CLM-000688,Green,Auto-approved,2.9
CLM-000689,Green,Auto-approved,3.0
CLM-000690,Amber,Human review,52.9
CLM-000691,Amber,Human review,55.0
CLM-000692,Amber,Human review,66.9
