policy_id,client_id,market,product_type,channel,brand,advisor_id,inception_date,sum_assured,premium,status
POL-000032,CLI-001473,South Africa,Funeral,Bancassurance,Metropolitan,ADV-084,2022-08-22,15000,63.31,Lapsed
POL-000033,CLI-000597,Lesotho,Funeral,Bancassurance,Metropolitan,ADV-002,2024-11-30,250000,1369.42,Active
POL-000034,CLI-003594,South Africa,Investment,Tied Advisor,Momentum,ADV-010,2023-09-12,100000,500.65,Lapsed
POL-000035,CLI-005753,South Africa,Life,Bancassurance,Momentum,ADV-034,2022-10-14,50000,251.44,Active
POL-000036,CLI-000414,South Africa,Life,Independent Broker,Momentum,ADV-092,2023-10-19,30000,140.68,Active
POL-000037,CLI-005561,Lesotho,Health,Bancassurance,Momentum,ADV-042,2022-01-24,50000,221.13,Active
POL-000038,CLI-005363,Namibia,Investment,Tied Advisor,Momentum,ADV-080,2024-02-05,50000,197.42,Active
POL-000039,CLI-001794,South Africa,Funeral,Bancassurance,Metropolitan,ADV-024,2025-01-19,15000,66.59,Active
POL-000040,CLI-004093,South Africa,Investment,Direct Digital,Momentum,ADV-068,2024-06-06,100000,514.1,Lapsed
POL-000041,CLI-001071,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-073,2021-07-17,30000,135.09,Active
POL-000042,CLI-004912,South Africa,Investment,Bancassurance,Momentum,ADV-052,2024-05-28,15000,70.0,Active
POL-000043,CLI-004539,Namibia,Funeral,Independent Broker,Metropolitan,ADV-008,2021-08-05,50000,215.83,Lapsed
POL-000044,CLI-002297,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-100,2023-04-21,15000,64.95,Active
POL-000045,CLI-000441,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-033,2024-08-22,50000,214.77,Active
POL-000046,CLI-006290,South Africa,Health,Bancassurance,Momentum,ADV-078,2025-12-20,30000,115.48,Active
POL-000047,CLI-002888,Namibia,Investment,Tied Advisor,Momentum,ADV-114,2026-05-08,50000,274.41,Lapsed
POL-000048,CLI-005787,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-017,2024-01-10,15000,62.25,Active
POL-000049,CLI-004393,Botswana,Funeral,Direct Digital,Metropolitan,ADV-109,2022-07-14,50000,201.3,Active
POL-000050,CLI-005044,South Africa,Funeral,Independent Broker,Metropolitan,ADV-060,2025-08-17,50000,250.49,Lapsed
POL-000051,CLI-004924,South Africa,Funeral,Bancassurance,Metropolitan,ADV-081,2023-03-31,50000,207.82,Active
POL-000052,CLI-001262,Botswana,Health,Independent Broker,Momentum,ADV-013,2024-04-02,30000,159.24,Active
POL-000053,CLI-002358,South Africa,Funeral,Independent Broker,Metropolitan,ADV-080,2022-06-16,50000,223.81,Active
POL-000054,CLI-003024,Lesotho,Investment,Bancassurance,Momentum,ADV-061,2023-04-27,30000,145.78,Active
POL-000055,CLI-003226,South Africa,Investment,Tied Advisor,Momentum,ADV-029,2023-11-12,15000,75.67,Lapsed
POL-000056,CLI-000284,Botswana,Funeral,Tied Advisor,Metropolitan,ADV-086,2025-02-27,15000,64.72,Active
POL-000057,CLI-003542,Botswana,Life,Independent Broker,Momentum,ADV-105,2025-12-18,30000,141.37,Active
POL-000058,CLI-001000,Botswana,Investment,Direct Digital,Momentum,ADV-063,2022-05-09,100000,517.37,Active
POL-000059,CLI-004817,South Africa,Health,Tied Advisor,Momentum,ADV-102,2024-04-06,30000,131.28,Active
POL-000060,CLI-004426,Botswana,Health,Direct Digital,Momentum,ADV-055,2026-04-25,50000,226.71,Active
POL-000061,CLI-005978,Namibia,Funeral,Bancassurance,Metropolitan,ADV-133,2021-07-20,50000,272.66,Lapsed
POL-000062,CLI-004826,South Africa,Funeral,Independent Broker,Metropolitan,ADV-045,2024-04-30,30000,122.12,Active
POL-000063,CLI-002376,South Africa,Health,Independent Broker,Momentum,ADV-128,2025-04-21,15000,57.93,Active
POL-000064,CLI-006269,Botswana,Funeral,Tied Advisor,Metropolitan,ADV-062,2021-12-27,30000,144.66,Active
POL-000065,CLI-002662,South Africa,Life,Independent Broker,Momentum,ADV-090,2024-10-22,30000,115.84,Active
POL-000066,CLI-002112,Lesotho,Health,Tied Advisor,Momentum,ADV-012,2023-07-29,15000,57.77,Active
POL-000067,CLI-005867,Botswana,Life,Independent Broker,Momentum,ADV-012,2024-06-21,100000,460.51,Lapsed
POL-000068,CLI-002401,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-160,2025-01-11,250000,985.59,Active
POL-000069,CLI-000495,Lesotho,Funeral,Direct Digital,Metropolitan,ADV-002,2022-03-10,15000,61.83,Lapsed
POL-000070,CLI-003043,Lesotho,Health,Tied Advisor,Momentum,ADV-089,2021-10-22,15000,60.79,Active
POL-000071,CLI-005156,South Africa,Funeral,Independent Broker,Metropolitan,ADV-074,2023-01-18,50000,263.43,Active
POL-000072,CLI-001228,Namibia,Funeral,Tied Advisor,Metropolitan,ADV-102,2022-10-10,250000,1031.24,Active
POL-000073,CLI-003000,South Africa,Investment,Tied Advisor,Momentum,ADV-001,2022-11-29,250000,1256.77,Active
POL-000074,CLI-000842,South Africa,Life,Tied Advisor,Momentum,ADV-030,2026-02-01,250000,1042.54,Lapsed
POL-000075,CLI-004448,Botswana,Life,Bancassurance,Momentum,ADV-055,2024-11-26,30000,150.85,Lapsed
POL-000076,CLI-003083,South Africa,Health,Independent Broker,Momentum,ADV-148,2023-04-01,500000,2060.04,Active
POL-000077,CLI-002140,Botswana,Funeral,Independent Broker,Metropolitan,ADV-056,2024-06-29,30000,119.28,Active
POL-000078,CLI-001471,South Africa,Investment,Bancassurance,Momentum,ADV-092,2022-04-06,15000,68.14,Lapsed
POL-000079,CLI-003658,South Africa,Health,Tied Advisor,Momentum,ADV-092,2022-05-20,50000,232.93,Lapsed
POL-000080,CLI-004340,South Africa,Funeral,Bancassurance,Metropolitan,ADV-067,2021-12-16,50000,260.88,Active
POL-000081,CLI-006093,Lesotho,Funeral,Tied Advisor,Metropolitan,ADV-133,2023-08-07,100000,502.82,Active
POL-000082,CLI-002833,Botswana,Funeral,Direct Digital,Metropolitan,ADV-115,2024-07-24,50000,192.77,Active
POL-000083,CLI-001042,Botswana,Life,Direct Digital,Momentum,ADV-072,2024-01-04,100000,419.35,Active
POL-000084,CLI-005395,Namibia,Life,Bancassurance,Momentum,ADV-049,2024-04-04,30000,124.21,Active
POL-000085,CLI-004081,Lesotho,Life,Tied Advisor,Momentum,ADV-045,2022-04-13,15000,61.19,Active
POL-000086,CLI-004538,Botswana,Investment,Independent Broker,Momentum,ADV-150,2024-09-14,100000,441.13,Active
POL-000087,CLI-000630,South Africa,Life,Bancassurance,Momentum,ADV-021,2024-03-25,30000,139.35,Active
POL-000088,CLI-002024,Namibia,Health,Independent Broker,Momentum,ADV-028,2026-04-04,15000,72.17,Active
POL-000089,CLI-004975,Lesotho,Life,Tied Advisor,Momentum,ADV-042,2022-09-14,30000,164.67,Active
POL-000090,CLI-005393,Namibia,Life,Independent Broker,Momentum,ADV-134,2021-10-07,100000,408.53,Active
POL-000091,CLI-002820,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-111,2023-09-29,250000,1003.25,Active
POL-000092,CLI-005215,South Africa,Life,Independent Broker,Momentum,ADV-155,2022-06-15,100000,482.08,Active
POL-000093,CLI-005454,Botswana,Life,Tied Advisor,Momentum,ADV-116,2022-05-05,50000,226.04,Active
POL-000094,CLI-002511,South Africa,Funeral,Independent Broker,Metropolitan,ADV-079,2022-08-20,100000,442.0,Lapsed
POL-000095,CLI-005819,South Africa,Health,Tied Advisor,Momentum,ADV-007,2024-11-12,15000,64.49,Lapsed
POL-000096,CLI-001869,Namibia,Life,Tied Advisor,Momentum,ADV-141,2023-08-08,50000,215.53,Lapsed
POL-000097,CLI-001553,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-108,2025-11-02,50000,255.44,Active
POL-000098,CLI-004422,South Africa,Health,Direct Digital,Momentum,ADV-012,2022-01-26,250000,1064.13,Active
POL-000099,CLI-004126,South Africa,Funeral,Independent Broker,Metropolitan,ADV-156,2026-02-15,15000,62.45,Active
POL-000100,CLI-000906,South Africa,Life,Independent Broker,Momentum,ADV-100,2023-07-08,500000,2756.62,Active
POL-000101,CLI-005396,Lesotho,Life,Bancassurance,Momentum,ADV-100,2024-02-19,50000,217.93,Active
POL-000102,CLI-001296,Namibia,Funeral,Independent Broker,Metropolitan,ADV-057,2025-07-19,15000,70.31,Active
POL-000103,CLI-005215,Namibia,Life,Independent Broker,Momentum,ADV-053,2023-12-04,30000,119.61,Active
POL-000104,CLI-000048,Lesotho,Funeral,Independent Broker,Metropolitan,ADV-059,2022-04-14,15000,58.71,Active
POL-000105,CLI-005163,Botswana,Funeral,Tied Advisor,Metropolitan,ADV-009,2022-09-02,50000,220.56,Active
POL-000106,CLI-005099,South Africa,Life,Independent Broker,Momentum,ADV-073,2026-01-18,30000,141.53,Active
POL-000107,CLI-005056,Namibia,Funeral,Tied Advisor,Metropolitan,ADV-010,2021-10-25,100000,392.09,Active
POL-000108,CLI-004308,South Africa,Investment,Direct Digital,Momentum,ADV-096,2026-01-08,50000,248.04,Active
POL-000109,CLI-003056,South Africa,Funeral,Independent Broker,Metropolitan,ADV-034,2024-11-03,100000,455.78,Active
POL-000110,CLI-004569,Namibia,Funeral,Tied Advisor,Metropolitan,ADV-099,2024-01-12,30000,144.06,Lapsed
POL-000111,CLI-001796,Namibia,Investment,Independent Broker,Momentum,ADV-060,2023-01-18,100000,520.05,Active
POL-000112,CLI-005059,South Africa,Life,Tied Advisor,Momentum,ADV-045,2025-10-07,100000,397.55,Active
POL-000113,CLI-003601,Lesotho,Life,Independent Broker,Momentum,ADV-024,2021-08-18,50000,249.95,Active
POL-000114,CLI-002974,South Africa,Life,Direct Digital,Momentum,ADV-062,2025-01-09,15000,61.57,Active
POL-000115,CLI-003276,South Africa,Health,Bancassurance,Momentum,ADV-012,2022-07-08,500000,2081.12,Active
POL-000116,CLI-003685,South Africa,Funeral,Bancassurance,Metropolitan,ADV-040,2023-04-02,100000,428.55,Active
POL-000117,CLI-000242,South Africa,Funeral,Independent Broker,Metropolitan,ADV-075,2021-10-14,100000,529.89,Active
POL-000118,CLI-000906,South Africa,Investment,Independent Broker,Momentum,ADV-102,2024-04-10,15000,70.74,Active
POL-000119,CLI-001591,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-074,2022-03-16,100000,393.47,Active
POL-000120,CLI-000743,South Africa,Health,Independent Broker,Momentum,ADV-017,2022-01-18,15000,71.68,Active
POL-000121,CLI-002849,South Africa,Life,Independent Broker,Momentum,ADV-116,2023-02-10,30000,165.17,Active
POL-000122,CLI-004331,Namibia,Life,Tied Advisor,Momentum,ADV-068,2023-12-12,50000,210.04,Active
POL-000123,CLI-004241,Lesotho,Health,Tied Advisor,Momentum,ADV-101,2026-03-11,30000,127.66,Active
POL-000124,CLI-003053,Namibia,Investment,Tied Advisor,Momentum,ADV-157,2025-08-13,15000,66.25,Active
POL-000125,CLI-005541,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-008,2023-06-21,30000,143.52,Lapsed
POL-000126,CLI-003663,Lesotho,Life,Tied Advisor,Momentum,ADV-159,2024-05-23,15000,72.88,Active
POL-000127,CLI-000514,Botswana,Health,Independent Broker,Momentum,ADV-153,2025-04-26,50000,252.06,Active
POL-000128,CLI-004957,South Africa,Funeral,Independent Broker,Metropolitan,ADV-083,2023-05-18,15000,65.98,Active
POL-000129,CLI-003723,South Africa,Health,Independent Broker,Momentum,ADV-005,2025-04-22,30000,115.52,Lapsed
POL-000130,CLI-004113,South Africa,Life,Tied Advisor,Momentum,ADV-040,2024-10-13,50000,206.04,Lapsed
POL-000131,CLI-003664,South Africa,Funeral,Independent Broker,Metropolitan,ADV-037,2024-12-24,500000,2151.58,Active
POL-000132,CLI-003587,South Africa,Health,Bancassurance,Momentum,ADV-094,2026-05-08,30000,133.0,Lapsed
POL-000133,CLI-000587,South Africa,Investment,Tied Advisor,Momentum,ADV-111,2023-05-08,30000,126.89,Lapsed
POL-000134,CLI-003624,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-079,2021-10-21,500000,2271.15,Lapsed
POL-000135,CLI-005151,Lesotho,Health,Independent Broker,Momentum,ADV-057,2024-02-24,250000,1008.9,Lapsed
POL-000136,CLI-001970,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-007,2023-02-13,50000,220.7,Lapsed
POL-000137,CLI-003906,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-151,2021-10-05,30000,150.15,Active
POL-000138,CLI-000200,Botswana,Funeral,Independent Broker,Metropolitan,ADV-159,2022-03-31,15000,66.65,Active
POL-000139,CLI-002252,South Africa,Health,Tied Advisor,Momentum,ADV-006,2024-02-19,50000,250.46,Lapsed
POL-000140,CLI-002830,South Africa,Funeral,Bancassurance,Metropolitan,ADV-053,2026-04-02,100000,448.73,Active
POL-000141,CLI-006368,South Africa,Funeral,Bancassurance,Metropolitan,ADV-158,2023-02-28,500000,2046.09,Active
POL-000142,CLI-001391,South Africa,Health,Independent Broker,Momentum,ADV-064,2024-03-12,15000,62.97,Active
POL-000143,CLI-001792,South Africa,Funeral,Independent Broker,Metropolitan,ADV-100,2022-05-09,15000,74.39,Active
POL-000144,CLI-002647,South Africa,Funeral,Direct Digital,Metropolitan,ADV-083,2022-02-11,250000,1048.91,Active
POL-000145,CLI-006432,South Africa,Funeral,Independent Broker,Metropolitan,ADV-102,2025-05-18,100000,526.58,Active
POL-000146,CLI-005530,Namibia,Health,Direct Digital,Momentum,ADV-141,2024-07-11,50000,215.86,Active
POL-000147,CLI-000225,Namibia,Life,Bancassurance,Momentum,ADV-061,2022-06-01,15000,73.1,Active
POL-000148,CLI-001516,South Africa,Health,Tied Advisor,Momentum,ADV-128,2023-12-20,50000,217.99,Lapsed
POL-000149,CLI-005324,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-074,2024-05-14,30000,120.49,Active
POL-000150,CLI-000378,South Africa,Life,Tied Advisor,Momentum,ADV-033,2021-10-06,30000,157.31,Active
POL-000151,CLI-005544,Botswana,Health,Bancassurance,Momentum,ADV-012,2022-12-20,15000,63.64,Active
POL-000152,CLI-001824,Botswana,Funeral,Tied Advisor,Metropolitan,ADV-115,2025-10-15,30000,127.84,Active
POL-000153,CLI-005946,South Africa,Funeral,Bancassurance,Metropolitan,ADV-097,2023-04-13,30000,124.71,Active
POL-000154,CLI-001903,South Africa,Funeral,Independent Broker,Metropolitan,ADV-140,2025-01-04,15000,58.24,Lapsed
POL-000155,CLI-002814,South Africa,Funeral,Bancassurance,Metropolitan,ADV-038,2024-06-29,30000,137.21,Lapsed
POL-000156,CLI-004289,Namibia,Funeral,Bancassurance,Metropolitan,ADV-115,2021-06-29,15000,78.57,Lapsed
POL-000157,CLI-000819,Namibia,Investment,Tied Advisor,Momentum,ADV-004,2026-03-16,30000,127.29,Active
POL-000158,CLI-003610,South Africa,Life,Tied Advisor,Momentum,ADV-023,2026-04-07,500000,2235.89,Active
POL-000159,CLI-003272,Lesotho,Life,Independent Broker,Momentum,ADV-096,2024-10-22,50000,204.12,Active
POL-000160,CLI-005079,South Africa,Funeral,Bancassurance,Metropolitan,ADV-087,2022-04-06,15000,61.62,Lapsed
POL-000161,CLI-006454,Botswana,Life,Bancassurance,Momentum,ADV-095,2025-09-09,50000,209.51,Active
POL-000162,CLI-004305,Namibia,Life,Independent Broker,Momentum,ADV-135,2021-06-20,15000,70.83,Lapsed
POL-000163,CLI-002652,South Africa,Investment,Bancassurance,Momentum,ADV-134,2024-01-07,30000,137.58,Active
POL-000164,CLI-002633,South Africa,Funeral,Independent Broker,Metropolitan,ADV-032,2023-08-09,15000,59.22,Active
POL-000165,CLI-002708,Lesotho,Health,Tied Advisor,Momentum,ADV-033,2024-12-14,250000,1163.45,Lapsed
POL-000166,CLI-005275,South Africa,Funeral,Direct Digital,Metropolitan,ADV-087,2022-03-04,15000,66.1,Active
POL-000167,CLI-002082,Botswana,Life,Independent Broker,Momentum,ADV-154,2025-11-04,250000,1065.28,Active
POL-000168,CLI-001082,South Africa,Investment,Bancassurance,Momentum,ADV-108,2024-04-26,50000,264.19,Active
POL-000169,CLI-002166,Namibia,Life,Tied Advisor,Momentum,ADV-024,2022-10-08,30000,124.2,Lapsed
POL-000170,CLI-000148,South Africa,Health,Independent Broker,Momentum,ADV-102,2023-01-09,100000,551.89,Lapsed
POL-000171,CLI-000688,South Africa,Health,Tied Advisor,Momentum,ADV-055,2024-11-24,30000,116.02,Active
POL-000172,CLI-000584,South Africa,Investment,Independent Broker,Momentum,ADV-018,2022-05-24,50000,221.76,Active
POL-000173,CLI-004999,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-114,2022-12-13,100000,516.94,Active
POL-000174,CLI-004681,South Africa,Funeral,Bancassurance,Metropolitan,ADV-045,2026-05-24,15000,61.8,Active
POL-000175,CLI-004515,Lesotho,Life,Tied Advisor,Momentum,ADV-125,2025-11-12,15000,60.59,Active
POL-000176,CLI-002993,South Africa,Investment,Tied Advisor,Momentum,ADV-089,2023-02-17,100000,509.21,Active
POL-000177,CLI-004646,South Africa,Life,Tied Advisor,Momentum,ADV-072,2024-03-30,15000,81.83,Lapsed
POL-000178,CLI-001045,South Africa,Funeral,Independent Broker,Metropolitan,ADV-034,2023-07-17,250000,1126.33,Lapsed
POL-000179,CLI-005836,South Africa,Life,Independent Broker,Momentum,ADV-047,2022-06-21,30000,129.73,Lapsed
POL-000180,CLI-003247,Namibia,Funeral,Bancassurance,Metropolitan,ADV-054,2022-12-09,30000,155.07,Active
POL-000181,CLI-006078,Namibia,Funeral,Bancassurance,Metropolitan,ADV-111,2022-01-03,30000,133.38,Active
POL-000182,CLI-000987,South Africa,Funeral,Independent Broker,Metropolitan,ADV-067,2025-08-26,30000,135.07,Lapsed
POL-000183,CLI-003223,Botswana,Funeral,Independent Broker,Metropolitan,ADV-006,2022-09-12,500000,2007.32,Active
POL-000184,CLI-004512,Botswana,Health,Tied Advisor,Momentum,ADV-003,2022-06-14,15000,61.16,Active
POL-000185,CLI-003212,Namibia,Funeral,Independent Broker,Metropolitan,ADV-044,2024-08-27,50000,262.39,Active
POL-000186,CLI-002891,South Africa,Funeral,Direct Digital,Metropolitan,ADV-082,2022-02-08,15000,63.41,Active
POL-000187,CLI-001077,South Africa,Life,Independent Broker,Momentum,ADV-054,2026-04-01,15000,68.11,Active
POL-000188,CLI-002469,South Africa,Funeral,Direct Digital,Metropolitan,ADV-160,2025-11-15,15000,69.03,Lapsed
POL-000189,CLI-001547,Namibia,Funeral,Tied Advisor,Metropolitan,ADV-038,2023-07-13,50000,259.09,Active
POL-000190,CLI-001954,Botswana,Funeral,Bancassurance,Metropolitan,ADV-066,2022-05-20,50000,208.5,Active
POL-000191,CLI-004430,South Africa,Funeral,Bancassurance,Metropolitan,ADV-064,2022-03-02,15000,60.13,Active
POL-000192,CLI-004084,South Africa,Life,Bancassurance,Momentum,ADV-044,2025-10-03,500000,2545.3,Active
POL-000193,CLI-003935,Botswana,Funeral,Independent Broker,Metropolitan,ADV-142,2023-09-03,30000,164.52,Active
POL-000194,CLI-002345,Namibia,Funeral,Tied Advisor,Metropolitan,ADV-041,2024-05-10,100000,437.19,Active
POL-000195,CLI-006218,South Africa,Funeral,Bancassurance,Metropolitan,ADV-002,2022-02-01,15000,58.03,Active
POL-000196,CLI-000568,Lesotho,Funeral,Independent Broker,Metropolitan,ADV-083,2025-08-01,50000,213.4,Lapsed
POL-000197,CLI-002220,South Africa,Funeral,Independent Broker,Metropolitan,ADV-102,2024-01-21,30000,149.84,Active
POL-000198,CLI-000765,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-073,2021-10-26,30000,120.09,Active
POL-000199,CLI-002197,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-068,2021-11-05,100000,448.34,Active
POL-000200,CLI-006233,Botswana,Funeral,Direct Digital,Metropolitan,ADV-138,2026-04-14,50000,226.47,Active
POL-000201,CLI-002374,Namibia,Health,Tied Advisor,Momentum,ADV-060,2021-10-01,30000,162.53,Active
POL-000202,CLI-005887,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-103,2022-12-19,50000,270.48,Lapsed
POL-000203,CLI-003208,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-134,2021-07-13,30000,132.54,Active
POL-000204,CLI-004534,South Africa,Life,Independent Broker,Momentum,ADV-064,2021-10-05,15000,61.34,Active
POL-000205,CLI-002964,South Africa,Funeral,Bancassurance,Metropolitan,ADV-087,2025-07-12,50000,208.11,Lapsed
POL-000206,CLI-001723,South Africa,Health,Direct Digital,Momentum,ADV-062,2025-04-16,250000,979.39,Active
POL-000207,CLI-004952,South Africa,Funeral,Independent Broker,Metropolitan,ADV-099,2023-02-14,15000,68.11,Active
POL-000208,CLI-006280,South Africa,Life,Tied Advisor,Momentum,ADV-088,2022-05-11,50000,217.72,Active
POL-000209,CLI-001708,South Africa,Investment,Tied Advisor,Momentum,ADV-137,2022-09-17,100000,434.45,Active
POL-000210,CLI-005046,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-041,2023-03-23,50000,237.62,Active
POL-000211,CLI-001692,Botswana,Funeral,Independent Broker,Metropolitan,ADV-026,2025-05-08,30000,166.46,Lapsed
POL-000212,CLI-004645,South Africa,Life,Direct Digital,Momentum,ADV-068,2024-06-09,15000,60.7,Lapsed
POL-000213,CLI-005112,Lesotho,Investment,Tied Advisor,Momentum,ADV-098,2023-09-08,15000,80.92,Active
POL-000214,CLI-002912,Namibia,Funeral,Tied Advisor,Metropolitan,ADV-046,2021-10-23,30000,116.85,Lapsed
POL-000215,CLI-004775,Lesotho,Life,Independent Broker,Momentum,ADV-160,2022-01-16,50000,202.01,Active
POL-000216,CLI-001764,South Africa,Funeral,Independent Broker,Metropolitan,ADV-083,2022-06-23,30000,159.32,Active
POL-000217,CLI-000514,South Africa,Life,Independent Broker,Momentum,ADV-130,2022-07-12,30000,158.09,Active
POL-000218,CLI-000625,Lesotho,Funeral,Independent Broker,Metropolitan,ADV-088,2023-11-30,50000,209.23,Lapsed
POL-000219,CLI-002897,South Africa,Life,Tied Advisor,Momentum,ADV-063,2025-10-12,15000,67.12,Active
POL-000220,CLI-005848,South Africa,Funeral,Independent Broker,Metropolitan,ADV-136,2023-07-30,50000,215.6,Active
POL-000221,CLI-000827,South Africa,Life,Tied Advisor,Momentum,ADV-026,2023-02-10,50000,246.07,Active
POL-000222,CLI-002953,South Africa,Funeral,Bancassurance,Metropolitan,ADV-041,2024-04-03,50000,199.45,Active
POL-000223,CLI-004562,South Africa,Life,Tied Advisor,Momentum,ADV-123,2021-11-05,30000,134.27,Active
POL-000224,CLI-001312,Lesotho,Health,Independent Broker,Momentum,ADV-145,2025-02-09,30000,133.19,Active
POL-000225,CLI-004676,South Africa,Health,Direct Digital,Momentum,ADV-047,2021-09-29,30000,115.72,Active
POL-000226,CLI-001983,South Africa,Investment,Independent Broker,Momentum,ADV-086,2023-03-26,100000,413.7,Lapsed
POL-000227,CLI-005240,Botswana,Life,Tied Advisor,Momentum,ADV-078,2026-03-26,50000,212.67,Active
POL-000228,CLI-003753,South Africa,Life,Direct Digital,Momentum,ADV-117,2023-06-28,50000,200.54,Active
POL-000229,CLI-003544,Lesotho,Funeral,Tied Advisor,Metropolitan,ADV-080,2025-03-16,15000,57.85,Active
POL-000230,CLI-001146,South Africa,Investment,Bancassurance,Momentum,ADV-098,2022-10-30,100000,408.16,Active
POL-000231,CLI-003002,South Africa,Life,Tied Advisor,Momentum,ADV-108,2025-09-23,30000,122.69,Active
POL-000232,CLI-005551,Namibia,Life,Direct Digital,Momentum,ADV-133,2023-03-02,15000,76.8,Lapsed
POL-000233,CLI-000127,South Africa,Life,Tied Advisor,Momentum,ADV-023,2022-08-09,15000,60.03,Lapsed
POL-000234,CLI-004915,South Africa,Health,Tied Advisor,Momentum,ADV-107,2021-09-21,100000,399.21,Lapsed
POL-000235,CLI-003193,Namibia,Health,Direct Digital,Momentum,ADV-029,2022-12-31,50000,219.53,Lapsed
